;	몹의 잡담							
#Ignore	\o042		; 인용부호 무시					
#RecordIn	ATTACK	MageBook	10	0	What? My greatness surprises you?	"Magic Missile! Fire Bolt! Don't think I'll use it, do ya?"	I'll show you a great trick. Poof! You're a mayfly!	"Teach me a new spell, and I'll let you go!"
#RecordIn	DAMAGED	MageBook	10	0	Ah!  I didn't think you'd be quite like this.	Ugh! Did you register a license?	I have great endurance!	"Wait, wait! Let's talk instead of fighting!"
#RecordIn	DEAD	MageBook	10	0	"You've got a trick or two in your bag of secrets, eh?"	You must be really good to defeat someone like me.	It's just death... 	My last wish is to be on a nice bookshelf!
#RecordIn	PIECE	PunchMageBook	3400000	5400000	Does anyone want to duel me?! Anyone?	Two hundred push ups.  That is my goal today!	I'd like to step into the ring someday.	I want to demonstrate everything I know.
#RecordIn	ATTACK	PunchMageBook	10	0	"One, two! One, two!.."	Jab! Body blow! Upper cut!	Will you cheer for me when that time comes? No? DIE!!	My steel fists will knock you out! Watch and see!
#RecordIn	DAMAGED	PunchMageBook	10	0	It's been a while since I've met my match.	Be sure to keep your guard up.	I don't like to pick on weaklings like you.	"Refined weapons? The more advanced they are, the more they shine."
#RecordIn	DEAD	PunchMageBook	10	0	One more round?	Oh no...I need to train more.	Good bye...	I will go on fighting...I have to lose three times to be defeated.
#RecordIn	PIECE	BabyBat	3400000	5400000	I wonder what it's like to fly... maybe I can try with these wings?	Today is my day off from pre-school. I'll play with you all day!	Boo...there's no one here to play with me.  Will you play with me?	Am I a bat or a pig? I wonder...
#RecordIn	ATTACK	BabyBat	10	0	"Look at me, I'm strong!"	This is ticklish...isn't it?	Let's be friends! No? Why?	What! Did you just say that I was a stupid pig?
#RecordIn	DAMAGED	BabyBat	10	0	Stop... don't hit me. Mommy!	This is child abuse!  Waaaa.	"If you don't want to be friends, just say so.  No need to hit me!"	"You're not strong at all. In fact, you're a weakling!"
#RecordIn	DEAD	BabyBat	10	0	I wanted to fly... 	"Now, at least I don't feel any pain...sigh."	Mo..mm..mmy!	Aaaahng.
#RecordIn	PIECE	GoldrySlime	3400000	5400000	Maybe there's a SilverySlime somewhere...haha.	-	-	-
#RecordIn	ATTACK	GoldrySlime	10	0	-	-	-	-
#RecordIn	DAMAGED	GoldrySlime	10	0	-	-	-	-
#RecordIn	DEAD	GoldrySlime	10	0	-	-	-	-
#RecordIn	PIECE	MarloneArcher	3400000	5400000	No one can escape my arrows!	My left hand acts only as support.	No one can defeat the Marlone clan!	Long live the Marlones!
#RecordIn	ATTACK	MarloneArcher	10	0	You're just standing there!	I never miss my target.	You think you are better then me? How dare you!	Mine is a legendary bow used by a master archer!
#RecordIn	DAMAGED	MarloneArcher	10	0	Ugh! I didn't expect your counterattack!	Quickly! Sound the alarm! Intruders are attacking!	You shouldn't have done that!	What? My bow's not working!
#RecordIn	DEAD	MarloneArcher	10	0	Marlone!  The enemy has come to attack!	Marlone...	Long live the Marl..one cl..an...	Oh no. The fighters will laugh at me...
#RecordIn	HELPMAIN	MarloneArcher	700	700	-	-	-	-
#RecordIn	HELPSUB	MarloneArcher	800	800	I will strike you down with one shot!	You're so stupid. I told you not to eat so much.	Hold on... I'm coming!	This is for the Marlone Archers!
#RecordIn	RACERESCUE	MarloneArcher	800	800	-	-	-	-
#RecordIn	PIECE	MarloneMegaton	3600000	5600000	There's not much to being a bandit--just take things by force!	We're not ordinary bandits. Watch out!	No one can defeat the Marlone clan!	"Marlones, hip hip hurray! Hip hip hurray!"
#RecordIn	ATTACK	MarloneMegaton	10	0	~whoosh~ ~whoosh~ That sound--it's not me!	Time for you to experience Megaton power!	Many people consider my body a deadly weapon!	I'll show you how great the Marlone clan is!
#RecordIn	DAMAGED	MarloneMegaton	10	0	I'm not joking!!	Ack! You're too strong.	Stop...I said st..op!	I can defend against that just by breathing in.
#RecordIn	DEAD	MarloneMegaton	10	0	Ugh! Marlone!	"Emergency, emergency! Enemy attack!"	How is this possible?	Marlone...be careful...
#RecordIn	HELPMAIN	MarloneMegaton	800	800	"You seemed so weak, but I underestimated you. Someone Help!"	"If I didn't eat meat yesterday, I wouldn't be so slow."	Hey! Come here and help me kill this thing!	I need help! Can anyone assist me?
#RecordIn	HELPSUB	MarloneMegaton	800	800	-	-	-	-
#RecordIn	RACERESCUE	MarloneMegaton	800	800	-	-	-	-
#RecordIn	PIECE	MarloneFighter	3600000	5600000	"I was an apprentice, and wanted to be a knight someday."	Does Marlone really think that's possible?	No one can defeat the Marlone clan!	Power to the Marlones!
#RecordIn	ATTACK	MarloneFighter	10	0	Witness the strength of the Marlone Clan!	You have fallen into the jaws of death! Haha.	Do you think you can escape my deadly attacks?	Your injuries will demonstrate the power of my mighty sword?
#RecordIn	DAMAGED	MarloneFighter	10	0	Where are all our enemies?	"You're strong, but I can feel the situation changing."	Your attacks are weak--I can take anything you throw at me!	Ugh! You are too strong...this could be my end...
#RecordIn	DEAD	MarloneFighter	10	0	Captain!  Let's hurry to Marlone!	We're under attack!	Help! Anyone!	Marlone...be careful...
#RecordIn	HELPMAIN	MarloneFighter	800	800	-	-	-	-
#RecordIn	HELPSUB	MarloneFighter	800	800	"Alright Captain, I'll take care of this!"	Finally! A chance to repay the boss and show him what I'm made of	"Don't worry, boss! I've got your back!"	I will show you the true power of the Marlone Clan.
#RecordIn	RACERESCUE	MarloneFighter	800	800	-	-	-	-
#RecordIn	PIECE	GlowWolf	3600000	5600000	"You like my name? Cool, isn't it?"	-	-	-
#RecordIn	ATTACK	GlowWolf	10	0	-	-	-	-
#RecordIn	DAMAGED	GlowWolf	10	0	-	-	-	-
#RecordIn	DEAD	GlowWolf	10	0	-	-	-	-
#RecordIn	PIECE	MarloneSoldier	3600000	5600000	No doubt about it: the Marlone Clan is the best!	"Without the Marlone Clan, nothing would make me happy."	I'm proud to be a soldier in the Marlone clan!	Marlone! Marlone! Marlone!
#RecordIn	ATTACK	MarloneSoldier	10	0	For the Marlone Clan!	Witness the power of the Marlone Clan!	"Here, let's see if you can withstand this attack!"	I don't think you understand where you've ended up.
#RecordIn	DAMAGED	MarloneSoldier	10	0	You are not an easy foe!	Hahaha!! You've got to be kidding...	"Please, someone help me!"	I'm too advanced for you..
#RecordIn	DEAD	MarloneSoldier	10	0	Ugh!  Mar...lon...	Who taught you that trick?	Long live the Marl..one cl..an...	Ugh...be..care...ful...
#RecordIn	PIECE	MarloneCaptain	3800000	5800000	I'm three times quicker than other fighters.	Why are we gathering? Are we attacking another village? Hehe.	No one can defeat the Marlone clan!	Long live the Marlones!
#RecordIn	ATTACK	MarloneCaptain	10	0	You dare defy the Marlone Clan? You will regret it!	Burning Hill is the domain of the Marlone Clan and Marlone King.	"I see everything, including you! Die!"	I've seen you. Don't think you can pass quietly.
#RecordIn	DAMAGED	MarloneCaptain	10	0	"You are hurting me, stop! It hurts!"	You will never understand...the Marlone Clan honor.	Do you really think you can beat a soldier from the Marlone clan?	"You're strong, alright. I have to be extra careful with you!"
#RecordIn	DEAD	MarloneCaptain	10	0	Marlone Clan! Forever! 	"Marlone, please avenge my death."	Marlone...I have only brought you shame!	I have only brought shame to you Marlone.
#RecordIn	HELPMAIN	MarloneCaptain	800	800	I am better than this...	"Oh no!  I have to leave. Marlone Clan Fighter, fight for me."	"Please, someone help me with this one!"	No need to waste my energy needlessly.
#RecordIn	HELPSUB	MarloneCaptain	800	800	"Hold on, Marlone! The Captain will be there soon!"	You dare challenge Marlone? Face my sword first!	"Marlone, there's no need for you to waste time with this."	"Just give me your orders, Marlone."
#RecordIn	RACERESCUE	MarloneCaptain	800	800	-	-	-	-
#RecordIn	PIECE	Marlone	4000000	6000000	"I can't forgive you, I really can't!"	Shout the Marlone Clan motto! Shout Marlone's name!	Gather all the captains! Its party time!	No one can match the power of the Marlone Clan!
#RecordIn	ATTACK	Marlone	10	0	You were the one who picked on my brother.	"The strong don't always survive, but survivors are always strong."	You think you can take my fast attacks?	I'll tell you who I am only if you defeat me with one hit.
#RecordIn	DAMAGED	Marlone	10	0	"Was that an attack, or a tickle?"	-	"Don't get cocky, there's more where this came from!"	You seem weak. I'm willing to bet you're no match for me 1 on 1!
#RecordIn	DEAD	Marlone	10	0	I can't die now.. I have too many things to do!	Don't think this is the end. I will have my revenge!	Ah is this the end...how sad.	Marlone clan! Avenge me!
#RecordIn	HELPMAIN	Marlone	800	800	"Hahaha...you think can beat me, rookie?"	"Marlone Clan, I am under attack!"	"I need help, someone help me!"	Marlone clan!  To arms!
#RecordIn	HELPSUB	Marlone	800	800	-	-	-	-
#RecordIn	RACERESCUE	Marlone	800	800	-	-	-	-
#RecordIn	PIECE	SilverySlime	4000000	6000000	Do you think there are gold slimes out there somewhere?	I prefer a dark and gloomy area like this.	-	-
#RecordIn	ATTACK	SilverySlime	10	0	-	-	-	-
#RecordIn	DAMAGED	SilverySlime	10	0	-	-	-	-
#RecordIn	DEAD	SilverySlime	10	0	-	-	-	-
#RecordIn	PIECE	Skeleton	4000000	6000000	I'm growing a belly. Can you see it? Hehe.	I can smell blood somewhere. Hehe.	"Yes sir, my captain!"	I have to grease my joints...my bones make so much noise!
#RecordIn	ATTACK	Skeleton	10	0	How dare you break into Shining Stone? You must be crazy!	Everyone! Defend Shiny Stone from invaders!	What do you think? You know...I was once a respected captain...	There's no reason to talk. Fight!
#RecordIn	DAMAGED	Skeleton	10	0	I'm sorry we didn't meet when I was alive!	Ooof! I'm reminded of the pain of being alive.  	Your attack is quite fierce.	You think I fear you? I fear no living thing!
#RecordIn	DEAD	Skeleton	10	0	This is my end...	This mercenary has lost his edge...	I can finally rest in peace.	Why should I fear anything? I'm already dead!
#RecordIn	HELPMAIN	Skeleton	800	800	-	-	-	-
#RecordIn	HELPSUB	Skeleton	800	800	I will face you...	"Haha...as usual, archers are the weakest."	"Hey, don't you run away! Now it's my turn!"	I'll do what you want...just respect me.
#RecordIn	RACERESCUE	Skeleton	800	800	-	-	-	-
#RecordIn	PIECE	SkelArcher	4200000	6200000	The air here is really bad.	The weather is getting colder...I'm chilled to the bone.	Polluted air is bad for the skin.	"Aye, aye Captain!"
#RecordIn	ATTACK	SkelArcher	10	0	Taste my arrows!	This isn't a place you just wander into.	"Fellows of the Shiny Stone, defend our land!"	My arrows will rip your heart out!
#RecordIn	DAMAGED	SkelArcher	10	0	"How can you be so fast, did you level up?"	Aaacckk!  I've been spotted!	I ache all over...	You'll give them quite a fight..
#RecordIn	DEAD	SkelArcher	10	0	I can't face him like this...	Thank you for letting me rest in peace.	Did I do everything I could?	Wat..ch..out...
#RecordIn	HELPMAIN	SkelArcher	800	800	Hmm...my body is coming apart...I will not let you go so easily.	"OK. I'll show you some respect, but it won't be easy..."	Uh oh!  There's trouble.	Hey!  Come here!
#RecordIn	HELPSUB	SkelArcher	800	800	-	-	-	-
#RecordIn	RACERESCUE	SkelArcher	800	800	-	-	-	-
#RecordIn	PIECE	SkeletonSoldier	4200000	6200000	Do you recognize me?	Why are there so many adventurers about?	"Hey, is anyone nearby? I smell something in the air..."	I'm so tired of waiting for the enemy. Let's attack first!
#RecordIn	ATTACK	SkeletonSoldier	10	0	"If you think I'm easy prey, you've got another thing coming."	Are you one of the adventurers?	Your end is near.	It's time to get serious...
#RecordIn	DAMAGED	SkeletonSoldier	10	0	I can handle this easily.	Ugh!  You're quite skilled...	Ridiculous!	Uh oh!  I have a bad feeling about this...
#RecordIn	DEAD	SkeletonSoldier	10	0	How can this be? I'm tougher than this!	Beating me doesn't make you special!	Is this the end?	"I am an undead. Technically, you cannot kill me."
#RecordIn	PIECE	SkelWarrior	4200000	6200000	I know what you did last night.	"Master of Darkness, give me peace once more.."	Where? Where are the intruders?	Yes Captain.
#RecordIn	ATTACK	SkelWarrior	10	0	This is making my blood boil! Hahaha~	"Cheer up, there's more fighting to be done!"	"Yes, you set foot in the wrong place. Prepare for battle!"	You must think you are skilled enough to challenge me.
#RecordIn	DAMAGED	SkelWarrior	10	0	"You're pretty good, but that is going to end now!"	"Hit me harder, you aren't even scratching me..."	You can't let your guard down in war.	Undead never retreat.
#RecordIn	DEAD	SkelWarrior	10	0	I don't have any fight left in me!	This is...the end...once again...	I need help.. Attack!	"A long time ago, I led a normal life..."
#RecordIn	HELPMAIN	SkelWarrior	800	800	-	-	-	-
#RecordIn	HELPSUB	SkelWarrior	800	800	Wait for me...sir Knight!	I will teach you to fear us..	You'll regret your stupidity! It's death for you!	You dare fight this mighty knight?
#RecordIn	RACERESCUE	SkelWarrior	800	800	-	-	-	-
#RecordIn	PIECE	SkelKnight	4400000	6400000	I will give my life to my new master.	"Skeletal Warriors, take up your positions."	Let all of us defend the Shiny Stone!	Calling all undead in Luminous Stone! Follow me!
#RecordIn	ATTACK	SkelKnight	10	0	Are you scared now?!	I cannot forgive anyone who insults my master!	I'll test this new skill on you. Don't try to evade.	We will see how long you can stay standing.
#RecordIn	DAMAGED	SkelKnight	10	0	You're a worthy opponent.	You can't defeat me with your half-hearted attacks!	Your strength is remarkable... I can't believe it.	Where are my fellows?
#RecordIn	DEAD	SkelKnight	10	0	"Have I disappointed you, master?"	I'll be in waiting for you in hell.	I refuse to believe this is the end...	I'm almost out of fight...
#RecordIn	HELPMAIN	SkelKnight	800	800	Who's there? Who dares interrupt my sweet dreams?	Warriors...Defend me!	"I need help, teach my attacker a lesson!"	Who...are you?
#RecordIn	HELPSUB	SkelKnight	800	800	-	-	-	-
#RecordIn	RACERESCUE	SkelKnight	800	800	-	-	-	-
#RecordIn	PIECE	Bat	4200000	6000000	Give me your blood!	I will be able to fly someday! 	What did you think I was--a pig?	*flap flap* My wings are just for show. Hehe...
#RecordIn	ATTACK	Bat	10	0	Die!	You smell delicious!	I will make you pay with my poison...	Try this on for size!
#RecordIn	DAMAGED	Bat	10	0	Enough of the games! Take this!	I want to fly away...but I'm too chubby.	Hah! Can't even feel that!	Your puny attacks can't harm my tough skin!
#RecordIn	DEAD	Bat	10	0	Yikes~!	I should have gone on a diet...	I will never die!	-
#RecordIn	PIECE	IceViVi	4200000	6000000	"I hate this climate... hot sun, burning ground!"	"There are others, similar to me."	I saw some people running around together...is that called a party?	-
#RecordIn	ATTACK	IceViVi	10	0	Which season do you like best?	"The others are ill-natured, so be careful."	"Come on! Let's fight fairly, one on one!"	-
#RecordIn	DAMAGED	IceViVi	10	0	"Your skills are great, just like mine."	You're doing well. This should be a good fight!	Yikes!  I am losing!	-
#RecordIn	DEAD	IceViVi	10	0	I'm melting!	I'm sorry it ended so quickly.	"No, please don't let me die!"	-
#RecordIn	PIECE	ArchMageBook	4400000	6400000	Beware! I'll show you no mercy!	Who would dare to cross my territory?	"*sniff sniff* I smell humans! Wait, I don't have a nose..."	I'm a fascinating read...you can learn a lot.
#RecordIn	ATTACK	ArchMageBook	10	0	I know everything about you!	There is no limit to the power of magic.	Your're already a goner.	"Hmm...chapter seven, fireball attack!"
#RecordIn	DAMAGED	ArchMageBook	10	0	Now you know everything about me!	Your attacks are most efficient.	"Your attacks are useless, but I understand you still have to try..."	"This should do it, page forty, the perfect shield!"
